Kennung;Name;Streckentyp (1=freie Strecke 2=Bruecke);Streckenbelag (1=Asphalt 2=Beton);Breite;Laenge;Hoehe;Flughafen;Inaktiv
A006;Boeglum;1;1;54,889200;8,908700;1;;
A040;Lutterbek;2;1;54,393074;10,285816;13;;
A041;Stadum;1;1;54,748770;9,082510;5;;
A065;Tarp - Bruecke;1;2;54,663597;9,430392;48;;
A161;Kabelhaus Flensburg;1;2;54,733900;9,389200;39;;
A162;Dollerup;1;1;54,771710;9,699360;38;;
A190;Scheideheck;1;1;54,702871;9,942718;4;;
A210;Nordstrand;1;1;54,511990;8,936500;0;;
A260;Twedt/Hoffnungstal;1;1;54,604680;9,683950;14;;
A280;Schleibruecke;2;1;54,659600;9,937690;4;;
A281;Karby;1;1;54,612710;9,969150;7;;
A310;Hattstedtermarsch;1;1;54,550370;9,006020;0;;
A311;Husum Sued;1;1;54,439760;9,045590;-3;;
A338;Brekendorfer Moor;1;1;54,431300;9,596200;21;;
A350;Gettorf;1;1;54,429940;9,954280;31;;
A357;Levensauer Hochbruecke;2;1;54,368212;10,077290;46;;
A390;Fehmarnsundbruecke;2;1;54,405440;11,114740;24;;
A391;Puttgarden;1;1;54,493290;11,219690;7;;
A400;Toenning;2;1;54,326330;8,951310;1;;
A401;Tating Haferacker;1;1;54,325000;8,658900;0;;
A441;Rader Hochbruecke Nord;2;1;54,338157;9,715886;15;;
A442;Rader Hochbruecke Sued;2;1;54,327852;9,731894;37;;
A452;Hasenmoor;1;1;54,314500;9,913100;24;;
A455;Rumohr;1;1;54,242598;10,021776;28;;
A472;Selenter Berg;1;1;54,290520;10,409690;65;;
A492;Oldenburg i.H.;1;1;54,268300;10,887800;11;;
A512;Heide Gma;1;1;54,169200;9,086500;4;;
A525;Nordhastedt;1;1;54,163968;9,194309;10;;
A535;Boxberg;1;1;54,066506;9,750004;66;;
A540;Dellbrueck;1;1;54,140420;9,645370;17;;
A553;Bordesholmer Damm;1;1;54,174100;9,956800;34;;
A554;Bordesholmer Bruecke;2;1;54,179700;9,957300;37;;
A580;Schmiedendorf;1;1;54,290990;10,612640;17;;
A581;Bungsberg;1;1;54,214450;10,739580;122;;
A593;Lensahn;1;1;54,187788;10,894889;31;;
A620;Ruhwinkel;1;2;54,104422;10,213163;37;;
A621;Warder;1;1;54,246250;9,817400;15;;
A632;Schafstedt;2;1;54,069733;9,317318;35;;
A650;Klein Kummerfeld;1;1;54,024750;10,065080;31;;
A680;Dodauerforst;1;1;54,133970;10,539330;54;;
A681;Ahrensboek;1;1;54,008430;10,553000;62;;
A692;Neustadt i.H.;1;1;54,103571;10,781158;9;;
