timestamp_utc,at,td,st
2026-02-04T01:00Z,-3.3,-8.4,-5.4
2026-02-04T01:15Z,-3.4,-8.3,-5.4
2026-02-04T01:30Z,-3.5,-8.2,-5.2
2026-02-04T01:45Z,-3.5,-7.9,-4.9
2026-02-04T02:00Z,-3.6,-7.9,-4.8
2026-02-04T02:15Z,-3.7,-8.0,-4.7
2026-02-04T02:30Z,-3.7,-7.8,-4.5
2026-02-04T02:45Z,-3.8,-7.5,-4.5
2026-02-04T03:00Z,-3.9,-7.6,-4.5
2026-02-04T03:15Z,-3.9,-7.4,-4.5
2026-02-04T03:30Z,-4.0,-7.3,-4.5
2026-02-04T03:45Z,-4.1,-7.1,-4.4
2026-02-04T04:00Z,-4.1,-7.0,-4.4
2026-02-04T04:15Z,-4.3,-6.9,-4.4
2026-02-04T04:30Z,-4.5,-7.0,-4.5
2026-02-04T04:45Z,-4.4,-6.6,-4.5
2026-02-04T05:00Z,-4.4,-6.4,-4.4
2026-02-04T05:15Z,-4.3,-6.2,-4.4
2026-02-04T05:30Z,-4.3,-6.2,-4.3
2026-02-04T05:45Z,-4.2,-6.0,-4.3
2026-02-04T06:00Z,-4.2,-6.1,-4.2
2026-02-04T06:15Z,-4.1,-5.9,-4.1
2026-02-04T06:30Z,-4.1,-5.8,-4.0
2026-02-04T06:45Z,-4.1,-5.5,-4.0
2026-02-04T07:00Z,-3.9,-5.2,-4.0
2026-02-04T07:15Z,-3.7,-5.0,-3.9
2026-02-04T07:30Z,-3.5,-4.6,-3.8
2026-02-04T07:45Z,-3.2,-4.3,-3.7
2026-02-04T08:00Z,-3.1,-4.2,-3.6
2026-02-04T08:15Z,-2.9,-4.5,-3.4
2026-02-04T08:30Z,-2.8,-4.7,-3.2
2026-02-04T08:45Z,-2.7,-4.4,-3.1
2026-02-04T09:00Z,-2.7,-4.2,-3.0
2026-02-04T09:15Z,-2.6,-4.2,-3.0
2026-02-04T09:30Z,-2.4,-4.1,-3.0
2026-02-04T09:45Z,-2.3,-3.9,-2.9
2026-02-04T10:00Z,-2.2,-3.7,-2.6
2026-02-04T10:15Z,-2.2,-3.7,-2.6
2026-02-04T10:30Z,-2.2,-3.7,-2.6
2026-02-04T10:45Z,-2.2,-3.6,-2.6
2026-02-04T11:00Z,-2.2,-3.6,-2.4
2026-02-04T11:15Z,-2.2,-3.6,-2.2
2026-02-04T11:30Z,-2.2,-3.5,-2.1
2026-02-04T11:45Z,-2.0,-3.4,-2.0
2026-02-04T12:00Z,-2.0,-3.4,-1.7
2026-02-04T12:15Z,-2.0,-3.5,-1.8
2026-02-04T12:30Z,-2.0,-3.4,-1.8
2026-02-04T12:45Z,-2.1,-3.5,-1.9
2026-02-04T13:00Z,-2.0,-3.4,-1.9
2026-02-04T13:15Z,-2.0,-3.5,-1.9
2026-02-04T13:30Z,-2.0,-3.6,-2.0
2026-02-04T13:45Z,-2.0,-3.6,-2.0
2026-02-04T14:00Z,-2.0,-3.7,-2.0
2026-02-04T14:15Z,-2.1,-3.9,-2.0
2026-02-04T14:30Z,-2.1,-4.0,-2.0
2026-02-04T14:45Z,-2.1,-4.0,-2.1
2026-02-04T15:00Z,-2.2,-4.0,-2.2
2026-02-04T15:15Z,-2.2,-3.9,-2.4
2026-02-04T15:30Z,-2.2,-3.8,-2.6
2026-02-04T15:45Z,-2.0,-3.6,-2.5
2026-02-04T16:00Z,-1.9,-3.6,-2.6
2026-02-04T16:15Z,-1.8,-3.4,-2.7
2026-02-04T16:30Z,-1.7,-3.4,-2.6
2026-02-04T16:45Z,-1.6,-3.3,-2.5
2026-02-04T17:00Z,-1.6,-3.4,-2.6
2026-02-04T17:15Z,-1.5,-3.5,-2.6
2026-02-04T17:30Z,-1.5,-3.5,-2.5
2026-02-04T17:45Z,-1.5,-3.5,-2.5
2026-02-04T18:00Z,-1.4,-3.4,-2.5
2026-02-04T18:15Z,-1.3,-3.2,-2.4
2026-02-04T18:30Z,-1.2,-3.0,-2.3
2026-02-04T18:45Z,-1.0,-2.7,-2.2
2026-02-04T19:00Z,-0.9,-2.4,-2.2
2026-02-04T19:15Z,-0.8,-2.2,-2.0
2026-02-04T19:30Z,-0.4,-2.1,-1.9
2026-02-04T19:45Z,-0.4,-2.3,-1.9
2026-02-04T20:00Z,-0.4,-2.4,-1.8
2026-02-04T20:15Z,-0.4,-2.7,-1.8
2026-02-04T20:30Z,-0.3,-2.8,-1.8
2026-02-04T20:45Z,-0.3,-2.7,-1.8
2026-02-04T21:00Z,-0.3,-2.5,-1.7
2026-02-04T21:15Z,-0.3,-2.3,-1.7
2026-02-04T21:30Z,-0.3,-2.2,-1.6
2026-02-04T21:45Z,-0.3,-2.2,-1.6
2026-02-04T22:00Z,-0.4,-2.2,-1.6
2026-02-04T22:15Z,-0.4,-2.1,-1.6
2026-02-04T22:30Z,-0.5,-2.0,-1.7
2026-02-04T22:45Z,-0.6,-2.0,-1.6
2026-02-04T23:00Z,-0.8,-2.0,-1.6
2026-02-04T23:15Z,-0.8,-2.3,-1.6
2026-02-04T23:30Z,-0.8,-2.4,-1.7
2026-02-04T23:45Z,-0.8,-2.3,-1.7
2026-02-05T00:00Z,-0.9,-2.4,-1.7
2026-02-05T00:15Z,-0.9,-2.3,-1.7
2026-02-05T00:30Z,-1.0,-2.2,-1.7
2026-02-05T00:45Z,-0.9,-2.2,-1.8
